track,model,window,rmse_kwh,mae_kwh,r2,wia,model_path
hourly,single,1,14.414370380179273,9.19079238750832,0.7638769900123701,0.9363233884311652,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/single/models/win1.keras
hourly,single,4,11.660092904492862,7.338336744149705,0.8454919974719683,0.960677843999961,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/single/models/win4.keras
hourly,single,8,9.629817814824769,5.6531194073046676,0.8946442282929397,0.9719834725215856,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/single/models/win8.keras
hourly,single,12,10.249701256824471,5.569919137843734,0.8807156524425458,0.9681665886026761,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/single/models/win12.keras
hourly,single,16,9.242462490106345,5.068827573750311,0.9030405154996152,0.9753350080357435,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/single/models/win16.keras
hourly,single,24,9.57143389085318,5.294766027686167,0.8960557510556665,0.9725038660145995,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/single/models/win24.keras
hourly,single,36,9.191873998002103,5.165772592502579,0.9042133990051193,0.9747877655678897,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/single/models/win36.keras
hourly,single,48,9.511611870584225,5.327387128267687,0.8975412383964687,0.9724759153514421,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/single/models/win48.keras
hourly,single,74,9.048687968393734,4.929662384845011,0.9074113513895157,0.9758010994767787,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/single/models/win74.keras
hourly,single,168,9.051275512277744,5.285299075493047,0.9078126673711119,0.9758163023035015,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/single/models/win168.keras
hourly,single,336,9.758175395352117,5.437344297236845,0.8914064317760918,0.9724669968270876,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/single/models/win336.keras
hourly,single,672,10.897388047059227,6.095394962201751,0.8631851642770644,0.9616617037296372,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/single/models/win672.keras
hourly,double,1,13.733635354560748,8.329597623076483,0.7856527180600256,0.9407924892404437,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/double/models/win1.keras
hourly,double,4,9.868601784954437,5.508820400874833,0.8893227891480101,0.9705365054800876,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/double/models/win4.keras
hourly,double,8,9.999830266993493,5.432855441918772,0.8863923836233331,0.9706540873849684,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/double/models/win8.keras
hourly,double,12,10.401412810387205,5.581850780200745,0.8771583303800263,0.9699591303165318,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/double/models/win12.keras
hourly,double,16,9.834653397682565,5.485508529806138,0.8902175239114973,0.9723432917353517,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/double/models/win16.keras
hourly,double,24,8.899685148398575,4.832371089125938,0.9101339314788537,0.9766532916407837,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/double/models/win24.keras
hourly,double,36,9.313292445778186,5.142104990290849,0.9016661329403647,0.9743481290367448,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/double/models/win36.keras
hourly,double,48,10.180231647068458,5.828756724409759,0.8826302491869542,0.9712358073437132,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/double/models/win48.keras
hourly,double,74,9.527828517060351,5.425459177116615,0.89734635267719,0.9731302332338728,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/double/models/win74.keras
hourly,double,168,9.466494038763004,5.4385292527322555,0.8991606560713981,0.9731351178719081,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/double/models/win168.keras
hourly,double,336,9.79007910603476,5.569106175761889,0.890695191983636,0.9696818184207101,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/double/models/win336.keras
hourly,double,672,11.472599006262127,6.509220690779609,0.8483606236089,0.9589407767262087,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/double/models/win672.keras
hourly,bidir,1,13.871319656620791,8.629928100666714,0.7813333677525398,0.9363770946503718,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/bidir/models/win1.keras
hourly,bidir,4,10.683158378118808,6.266068045913763,0.8702981143035585,0.9648485396903546,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/bidir/models/win4.keras
hourly,bidir,8,11.009990594770509,6.16844989241427,0.8622802940291696,0.9669326491944933,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/bidir/models/win8.keras
hourly,bidir,12,10.124566193497373,5.610549942542542,0.8836104757801755,0.9712712145156293,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/bidir/models/win12.keras
hourly,bidir,16,9.667307063089371,5.273249183225706,0.893921851451625,0.9709808953087363,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/bidir/models/win16.keras
hourly,bidir,24,9.542301512673388,5.479072363476321,0.8966875340999892,0.9737267225417784,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/bidir/models/win24.keras
hourly,bidir,36,10.064246021570947,5.878145557226226,0.8851690052861239,0.9715095500183039,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/bidir/models/win36.keras
hourly,bidir,48,9.609474911757296,6.175631608637708,0.8954220374357362,0.9709858333800087,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/bidir/models/win48.keras
hourly,bidir,74,9.74600497199026,5.717934952429699,0.8925912214792309,0.9704674255937566,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/bidir/models/win74.keras
hourly,bidir,168,10.400653654516242,6.043515902094148,0.8782769155321611,0.9666656564382041,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/bidir/models/win168.keras
hourly,bidir,336,10.536641521274182,5.927411154037048,0.8733890483403497,0.9665975718648583,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/bidir/models/win336.keras
hourly,bidir,672,10.238349300543607,5.77435543604231,0.8792330089874109,0.9681578228315666,/content/drive/MyDrive/Shared-Colab-Storage/Final/hourly/bidir/models/win672.keras
