track,stack,window,shap_top,shap_top_fid_delta,fid_top,fid_top_delta,agree
hourly,single,1,Usage_kWh,12.277513503515866,Usage_kWh,12.277513503515866,True
hourly,single,4,Usage_kWh,16.327738946914344,Usage_kWh,16.327738946914344,True
hourly,single,8,Usage_kWh,16.6610216009663,Usage_kWh,16.6610216009663,True
hourly,single,12,Usage_kWh,17.498055948303413,Usage_kWh,17.498055948303413,True
hourly,single,16,Usage_kWh,17.88435670535109,Usage_kWh,17.88435670535109,True
hourly,single,24,Load_Type,4.293615945975329,Usage_kWh,17.69494644095421,False
hourly,single,36,Lagging_Current_Power_Factor,1.4334848413503245,Usage_kWh,19.429157446949176,False
hourly,single,48,Usage_kWh,17.291089697141228,Usage_kWh,17.291089697141228,True
hourly,single,74,Usage_kWh,19.126758008028155,Usage_kWh,19.126758008028155,True
hourly,single,168,Day_of_week,0.1791452554183425,Usage_kWh,17.193052689051918,False
hourly,single,336,hour_sin,5.418622759627251,hour_sin,5.418622759627251,True
hourly,single,672,Usage_kWh,13.063699119320622,Usage_kWh,13.063699119320622,True
hourly,double,1,Usage_kWh,9.322224716009345,hour_cos,39.64008417244629,False
hourly,double,4,Usage_kWh,17.069519525822336,Usage_kWh,17.069519525822336,True
hourly,double,8,Usage_kWh,17.760472911328552,Usage_kWh,17.760472911328552,True
hourly,double,12,Usage_kWh,19.267416022524817,Usage_kWh,19.267416022524817,True
hourly,double,16,Usage_kWh,16.92357330414216,Usage_kWh,16.92357330414216,True
hourly,double,24,hour_cos,4.141365088912345,hour_sin,5.204531773860607,False
hourly,double,36,Load_Type,4.731551591747151,Usage_kWh,16.73323577529043,False
hourly,double,48,hour_sin,5.806627762561831,Usage_kWh,17.08867535898169,False
hourly,double,74,hour_cos,3.878845341575767,Load_Type,5.090208363213421,False
hourly,double,168,Lagging_Current_Reactive.Power_kVarh,0.8973936506563867,Leading_Current_Power_Factor,3.424105573234929,False
hourly,double,336,Usage_kWh,17.35959492945493,Usage_kWh,17.35959492945493,True
hourly,double,672,Leading_Current_Power_Factor,0.720664956156174,hour_sin,2.7108264664686583,False
hourly,bidir,1,Usage_kWh,11.819232806465116,Usage_kWh,11.819232806465116,True
hourly,bidir,4,Usage_kWh,13.30458757059999,Usage_kWh,13.30458757059999,True
hourly,bidir,8,Usage_kWh,18.13780149527009,Usage_kWh,18.13780149527009,True
hourly,bidir,12,Usage_kWh,19.09989386115294,Usage_kWh,19.09989386115294,True
hourly,bidir,16,Usage_kWh,17.665863455217508,Usage_kWh,17.665863455217508,True
hourly,bidir,24,Usage_kWh,18.013766048327078,Usage_kWh,18.013766048327078,True
hourly,bidir,36,Usage_kWh,18.315832180173203,Usage_kWh,18.315832180173203,True
hourly,bidir,48,Day_of_week,0.7597786689075843,Day_of_week,0.7597786689075843,True
hourly,bidir,74,Leading_Current_Power_Factor,3.918009852543225,Leading_Current_Power_Factor,3.918009852543225,True
hourly,bidir,168,Lagging_Current_Power_Factor,2.113547000941491,hour_cos,3.316635591252972,False
hourly,bidir,336,Usage_kWh,14.628812348731277,Usage_kWh,14.628812348731277,True
hourly,bidir,672,Load_Type,2.967636481395557,Load_Type,2.967636481395557,True
15min,single,1,Usage_kWh,26.53224703915689,Usage_kWh,26.53224703915689,True
15min,single,4,Usage_kWh,23.89716999765061,Usage_kWh,23.89716999765061,True
15min,single,8,Usage_kWh,27.777510133603897,Usage_kWh,27.777510133603897,True
15min,single,16,Usage_kWh,26.254053031472097,Usage_kWh,26.254053031472097,True
15min,single,24,Usage_kWh,26.681112940225788,Usage_kWh,26.681112940225788,True
15min,single,48,Usage_kWh,27.25740646974714,Usage_kWh,27.25740646974714,True
15min,single,64,Usage_kWh,28.52563017156718,Usage_kWh,28.52563017156718,True
15min,single,96,hour_sin,1.9267339401083896,hour_sin,1.9267339401083896,True
15min,single,672,hour_cos,3.0323253403712886,hour_cos,3.0323253403712886,True
15min,double,1,Usage_kWh,33.55973444190057,Usage_kWh,33.55973444190057,True
15min,double,4,Usage_kWh,20.85430225817837,Usage_kWh,20.85430225817837,True
15min,double,8,Usage_kWh,22.829154929429407,Usage_kWh,22.829154929429407,True
15min,double,16,Usage_kWh,25.82799185044948,Usage_kWh,25.82799185044948,True
15min,double,24,Usage_kWh,24.866975364089363,Usage_kWh,24.866975364089363,True
15min,double,48,Usage_kWh,24.21092065313448,Usage_kWh,24.21092065313448,True
15min,double,64,Lagging_Current_Power_Factor,4.976338824818328,Lagging_Current_Power_Factor,4.976338824818328,True
15min,double,96,Day_of_week,0.1215832301573822,Usage_kWh,24.972425288049543,False
15min,double,672,hour_sin,0.7531653594272836,Lagging_Current_Power_Factor,2.801731536401828,False
15min,bidir,1,Usage_kWh,28.296284918190672,Usage_kWh,28.296284918190672,True
15min,bidir,4,Usage_kWh,22.370934512774262,Usage_kWh,22.370934512774262,True
15min,bidir,8,Usage_kWh,27.532345483067427,Usage_kWh,27.532345483067427,True
15min,bidir,16,Usage_kWh,24.611809207015263,Usage_kWh,24.611809207015263,True
15min,bidir,24,Usage_kWh,26.76246873186397,Usage_kWh,26.76246873186397,True
15min,bidir,48,Lagging_Current_Power_Factor,0.2951728697777902,Usage_kWh,26.644909143876305,False
15min,bidir,64,Usage_kWh,27.489621686047247,Usage_kWh,27.489621686047247,True
15min,bidir,96,Lagging_Current_Reactive.Power_kVarh,0.6544829215002359,Lagging_Current_Reactive.Power_kVarh,0.6544829215002359,True
15min,bidir,672,Lagging_Current_Power_Factor,0.4023745041506004,Leading_Current_Power_Factor,3.0484699632334085,False
