Window Size,Single_RMSE,Single_MAE,Single_R2,Single_WIA,Double_RMSE,Double_MAE,Double_R2,Double_WIA,Bidirectional_RMSE,Bidirectional_MAE,Bidirectional_R2,Bidirectional_WIA
win1,0.07097282532363923,0.03714102294904636,0.9141196131911647,0.9776592132662617,0.07227735829644691,0.035261087488954214,0.9109335084313721,0.9778917937195116,0.07449933357991508,0.042967362760080126,0.905373107309712,0.9755125052347278
win4,0.05715508009191733,0.030992121044046247,0.9443066380687675,0.9861613918443164,0.04946086383723915,0.02913424351063364,0.9582922123528165,0.9891841784708502,0.054748197005776295,0.031070054439785028,0.9488985289544004,0.9865848518394452
win8,0.049485769631818166,0.02839754798755999,0.9582519849256711,0.9891116182379576,0.046155215900731426,0.026724121740033295,0.9636824329403181,0.9909181247838342,0.052066954771714684,0.029077990934696856,0.9537832364748273,0.9884080776664658
win16,0.04846206052689077,0.02880298443544293,0.9599630243664266,0.9903321907153513,0.04892285216305204,0.02692067531724971,0.959198037852098,0.9897994010505616,0.04847547661517477,0.027508246225538935,0.9599408538708296,0.9896873778433144
win24,0.04974171054906623,0.030884251336546056,0.957825393063793,0.989384153195041,0.048724149736650624,0.028711155028060757,0.9595332664255395,0.9901318684859475,0.051134956527480464,0.0287241872788948,0.9554297167733379,0.9887924017470149
win48,0.05750721873717478,0.032695596580663115,0.9436206084711852,0.9853197375655507,0.052803296353542147,0.028914270684564466,0.9524667262240561,0.9877068536738252,0.04675092816636147,0.0284349306187694,0.9627388605531166,0.9905937158054664
win64,0.04853307349438555,0.029075095681980762,0.9598400599738932,0.9897126823901236,0.047028573557666146,0.026732685292451867,0.9622913419141204,0.9905075371946805,0.052787276164335074,0.03206057993742156,0.9524909910402296,0.9875155390714414
win96,0.046650646553017296,0.02847610508167681,0.9628903546395149,0.9907018001457959,0.044476646385012794,0.027934602919636637,0.9662685091697898,0.9912059212643062,0.044025708207535715,0.027711284449800738,0.9669490329409903,0.9915603290654901
win672,0.048385558675031894,0.028591675623844858,0.9602169831899101,0.9900737683208194,0.04644896319430652,0.028029173322773174,0.9633378236405948,0.9908219133044261,0.045789222848154496,0.029887774756238328,0.9643718937649604,0.9905759665733953
